"shipment_no","shipment_date","shipment_status"
SHIPMENT646,2024-02-20,RUNNING
SHIPMENT647,2024-03-03,DONE
SHIPMENT648,2024-03-03,DONE
SHIPMENT649,2024-02-04,CANCELLED
SHIPMENT650,2024-03-31,CANCELLED
SHIPMENT651,2024-03-31,CANCELLED
SHIPMENT652,2024-03-12,CANCELLED
SHIPMENT653,2024-03-27,RUNNING
SHIPMENT654,2024-02-13,DONE
SHIPMENT655,2024-03-23,DONE
SHIPMENT656,2024-02-06,DONE
SHIPMENT657,2024-03-12,RUNNING
SHIPMENT658,2024-03-29,CANCELLED
SHIPMENT659,2024-02-16,RUNNING
SHIPMENT660,2024-02-12,RUNNING
SHIPMENT661,2024-03-26,DONE
SHIPMENT662,2024-02-29,CANCELLED
SHIPMENT663,2024-03-29,RUNNING
SHIPMENT664,2024-03-18,DONE
SHIPMENT665,2024-03-26,CANCELLED
SHIPMENT666,2024-03-12,RUNNING
SHIPMENT667,2024-02-24,DONE
SHIPMENT668,2024-03-01,RUNNING
SHIPMENT669,2024-03-13,CANCELLED
SHIPMENT670,2024-03-06,DONE
SHIPMENT671,2024-02-24,DONE
SHIPMENT672,2024-03-16,CANCELLED
SHIPMENT673,2024-02-06,DONE
SHIPMENT674,2024-02-19,CANCELLED
SHIPMENT675,2024-03-07,RUNNING
SHIPMENT676,2024-03-05,DONE
SHIPMENT677,2024-03-10,RUNNING
SHIPMENT678,2024-03-19,DONE
SHIPMENT679,2024-03-24,CANCELLED
SHIPMENT680,2024-04-02,CANCELLED
SHIPMENT681,2024-03-11,CANCELLED
SHIPMENT682,2024-02-15,CANCELLED
SHIPMENT683,2024-02-21,RUNNING
SHIPMENT684,2024-03-10,RUNNING
SHIPMENT685,2024-03-22,RUNNING
SHIPMENT686,2024-02-07,DONE
SHIPMENT687,2024-02-07,RUNNING
SHIPMENT688,2024-03-14,RUNNING
SHIPMENT689,2024-02-13,RUNNING
SHIPMENT690,2024-03-20,CANCELLED
SHIPMENT691,2024-02-27,CANCELLED
SHIPMENT692,2024-02-08,DONE
SHIPMENT693,2024-03-25,DONE
SHIPMENT694,2024-02-17,CANCELLED
SHIPMENT695,2024-03-23,DONE
SHIPMENT696,2024-03-27,DONE
SHIPMENT697,2024-03-12,CANCELLED
SHIPMENT698,2024-02-14,RUNNING
SHIPMENT699,2024-03-24,CANCELLED
SHIPMENT700,2024-02-14,CANCELLED
SHIPMENT701,2024-04-03,CANCELLED
SHIPMENT702,2024-02-13,DONE
SHIPMENT703,2024-02-24,RUNNING
SHIPMENT704,2024-02-29,DONE
SHIPMENT705,2024-03-17,DONE
SHIPMENT706,2024-02-27,CANCELLED
SHIPMENT707,2024-02-19,DONE
SHIPMENT708,2024-02-13,DONE
SHIPMENT709,2024-04-03,RUNNING
SHIPMENT710,2024-02-26,DONE
SHIPMENT711,2024-03-27,DONE
SHIPMENT712,2024-02-16,CANCELLED
SHIPMENT713,2024-03-09,RUNNING
SHIPMENT714,2024-03-10,RUNNING
SHIPMENT715,2024-02-17,CANCELLED
SHIPMENT716,2024-03-01,RUNNING
SHIPMENT717,2024-03-26,CANCELLED
SHIPMENT718,2024-02-07,CANCELLED
SHIPMENT719,2024-03-31,RUNNING
SHIPMENT720,2024-03-18,RUNNING
SHIPMENT721,2024-02-15,RUNNING
SHIPMENT722,2024-02-15,RUNNING
SHIPMENT723,2024-03-18,DONE
SHIPMENT724,2024-02-05,RUNNING
SHIPMENT725,2024-03-12,DONE
SHIPMENT726,2024-03-26,DONE
SHIPMENT727,2024-02-04,RUNNING
SHIPMENT728,2024-02-13,DONE
SHIPMENT729,2024-02-21,CANCELLED
SHIPMENT730,2024-03-19,RUNNING
SHIPMENT731,2024-02-19,CANCELLED
SHIPMENT732,2024-04-01,RUNNING
SHIPMENT733,2024-03-06,RUNNING
SHIPMENT734,2024-03-04,CANCELLED
SHIPMENT735,2024-03-11,CANCELLED
SHIPMENT736,2024-02-28,CANCELLED
SHIPMENT737,2024-03-19,CANCELLED
SHIPMENT738,2024-03-26,RUNNING
SHIPMENT739,2024-04-03,CANCELLED
SHIPMENT740,2024-03-24,RUNNING
SHIPMENT741,2024-03-14,DONE
SHIPMENT742,2024-03-31,RUNNING
SHIPMENT743,2024-03-25,RUNNING
SHIPMENT744,2024-03-18,RUNNING
SHIPMENT745,2024-03-18,DONE
SHIPMENT746,2024-03-31,CANCELLED
SHIPMENT747,2024-03-10,DONE
SHIPMENT748,2024-02-14,DONE
SHIPMENT749,2024-02-13,DONE
SHIPMENT750,2024-03-04,DONE
SHIPMENT751,2024-03-02,DONE
SHIPMENT752,2024-03-27,RUNNING
SHIPMENT753,2024-03-20,CANCELLED
SHIPMENT754,2024-03-10,DONE
SHIPMENT755,2024-03-29,RUNNING
SHIPMENT756,2024-02-23,RUNNING
SHIPMENT757,2024-03-30,RUNNING
SHIPMENT758,2024-02-22,RUNNING
SHIPMENT759,2024-02-28,CANCELLED
SHIPMENT760,2024-03-22,DONE
SHIPMENT761,2024-04-02,DONE
SHIPMENT762,2024-03-10,DONE
SHIPMENT763,2024-02-05,CANCELLED
SHIPMENT764,2024-03-06,DONE
SHIPMENT765,2024-03-04,CANCELLED
SHIPMENT766,2024-02-16,RUNNING
SHIPMENT767,2024-03-06,RUNNING
SHIPMENT768,2024-02-20,RUNNING
SHIPMENT769,2024-03-06,DONE
SHIPMENT770,2024-03-18,RUNNING
SHIPMENT771,2024-02-10,RUNNING
SHIPMENT772,2024-03-16,DONE
SHIPMENT773,2024-03-24,CANCELLED
SHIPMENT774,2024-03-31,DONE
SHIPMENT775,2024-02-14,RUNNING
SHIPMENT776,2024-03-07,CANCELLED
SHIPMENT777,2024-03-09,RUNNING
SHIPMENT778,2024-03-09,CANCELLED
SHIPMENT779,2024-02-16,DONE
SHIPMENT780,2024-03-08,CANCELLED
SHIPMENT781,2024-02-19,CANCELLED
SHIPMENT782,2024-02-05,CANCELLED
SHIPMENT783,2024-03-14,RUNNING
SHIPMENT784,2024-03-04,RUNNING
SHIPMENT785,2024-02-19,DONE
SHIPMENT786,2024-02-22,RUNNING
SHIPMENT787,2024-03-18,RUNNING
SHIPMENT788,2024-03-09,CANCELLED
SHIPMENT789,2024-03-01,CANCELLED
SHIPMENT790,2024-02-25,DONE
SHIPMENT791,2024-03-16,DONE
SHIPMENT792,2024-03-20,CANCELLED
SHIPMENT793,2024-03-02,CANCELLED
SHIPMENT794,2024-03-14,DONE
SHIPMENT795,2024-03-02,CANCELLED
SHIPMENT796,2024-03-16,DONE
SHIPMENT797,2024-03-14,DONE
SHIPMENT798,2024-03-31,CANCELLED
SHIPMENT799,2024-02-20,CANCELLED
SHIPMENT800,2024-02-05,CANCELLED
SHIPMENT801,2024-02-20,CANCELLED
SHIPMENT802,2024-03-04,CANCELLED
SHIPMENT803,2024-03-28,CANCELLED
SHIPMENT804,2024-02-15,CANCELLED
SHIPMENT805,2024-03-24,CANCELLED
SHIPMENT806,2024-02-04,RUNNING
SHIPMENT807,2024-02-08,CANCELLED
SHIPMENT808,2024-03-19,RUNNING
SHIPMENT809,2024-03-25,DONE
SHIPMENT810,2024-02-05,RUNNING
SHIPMENT811,2024-03-08,CANCELLED
SHIPMENT812,2024-02-13,DONE
SHIPMENT813,2024-02-08,CANCELLED
SHIPMENT814,2024-03-31,DONE
SHIPMENT815,2024-03-05,CANCELLED
SHIPMENT816,2024-03-22,DONE
SHIPMENT817,2024-03-11,DONE
SHIPMENT818,2024-02-20,RUNNING
SHIPMENT819,2024-03-09,DONE
SHIPMENT820,2024-02-10,RUNNING
SHIPMENT821,2024-03-13,RUNNING
SHIPMENT822,2024-02-03,RUNNING
SHIPMENT823,2024-02-17,DONE
SHIPMENT824,2024-03-25,RUNNING
SHIPMENT825,2024-03-13,CANCELLED
SHIPMENT826,2024-02-25,CANCELLED
SHIPMENT827,2024-03-24,CANCELLED
SHIPMENT828,2024-02-09,DONE
SHIPMENT829,2024-03-26,RUNNING
SHIPMENT830,2024-03-02,DONE
SHIPMENT831,2024-03-27,CANCELLED
SHIPMENT832,2024-02-26,CANCELLED
SHIPMENT833,2024-02-10,DONE
SHIPMENT834,2024-03-29,RUNNING
SHIPMENT835,2024-02-05,CANCELLED
SHIPMENT836,2024-02-10,DONE
SHIPMENT837,2024-02-15,CANCELLED
SHIPMENT838,2024-02-13,RUNNING
SHIPMENT839,2024-02-17,DONE
SHIPMENT840,2024-03-31,RUNNING
SHIPMENT841,2024-02-19,CANCELLED
SHIPMENT842,2024-03-27,DONE
SHIPMENT843,2024-03-02,DONE
SHIPMENT844,2024-02-11,CANCELLED
SHIPMENT845,2024-02-26,DONE
SHIPMENT846,2024-03-12,RUNNING
SHIPMENT847,2024-02-27,RUNNING
SHIPMENT848,2024-04-03,CANCELLED
SHIPMENT849,2024-02-11,DONE
SHIPMENT850,2024-02-19,RUNNING
SHIPMENT851,2024-03-20,DONE
SHIPMENT852,2024-02-05,DONE
SHIPMENT853,2024-02-13,RUNNING
SHIPMENT854,2024-03-28,CANCELLED
SHIPMENT855,2024-03-24,RUNNING
SHIPMENT856,2024-02-20,CANCELLED
SHIPMENT857,2024-03-03,RUNNING
SHIPMENT858,2024-03-20,DONE
SHIPMENT859,2024-02-19,RUNNING
SHIPMENT860,2024-02-22,CANCELLED
SHIPMENT861,2024-04-03,RUNNING
SHIPMENT862,2024-02-25,RUNNING
SHIPMENT863,2024-03-29,RUNNING
SHIPMENT864,2024-02-16,RUNNING
SHIPMENT865,2024-02-15,RUNNING
SHIPMENT866,2024-02-24,CANCELLED
SHIPMENT867,2024-02-06,CANCELLED
SHIPMENT868,2024-03-18,RUNNING
SHIPMENT869,2024-03-03,CANCELLED
SHIPMENT870,2024-03-17,CANCELLED
SHIPMENT871,2024-03-05,RUNNING
SHIPMENT872,2024-02-07,DONE
SHIPMENT873,2024-03-20,RUNNING
SHIPMENT874,2024-03-23,RUNNING
SHIPMENT875,2024-03-11,DONE
SHIPMENT876,2024-03-23,CANCELLED
SHIPMENT877,2024-02-14,DONE
SHIPMENT878,2024-03-21,CANCELLED
SHIPMENT879,2024-02-26,CANCELLED
SHIPMENT880,2024-02-27,DONE
SHIPMENT881,2024-03-04,DONE
SHIPMENT882,2024-03-19,RUNNING
SHIPMENT883,2024-03-28,CANCELLED
SHIPMENT884,2024-03-10,RUNNING
SHIPMENT885,2024-02-12,RUNNING
SHIPMENT886,2024-02-28,RUNNING
SHIPMENT887,2024-03-31,DONE
SHIPMENT888,2024-02-21,RUNNING
SHIPMENT889,2024-02-23,DONE
SHIPMENT890,2024-02-13,CANCELLED
SHIPMENT891,2024-02-04,CANCELLED
SHIPMENT892,2024-03-12,CANCELLED
SHIPMENT893,2024-03-09,DONE
SHIPMENT894,2024-03-16,DONE
SHIPMENT895,2024-03-23,CANCELLED
SHIPMENT896,2024-03-27,RUNNING
SHIPMENT897,2024-03-22,CANCELLED
SHIPMENT898,2024-03-18,RUNNING
SHIPMENT899,2024-02-10,RUNNING
SHIPMENT900,2024-04-02,CANCELLED
SHIPMENT901,2024-03-13,DONE
SHIPMENT902,2024-03-31,RUNNING
SHIPMENT903,2024-02-15,DONE
SHIPMENT904,2024-02-12,CANCELLED
SHIPMENT905,2024-03-21,RUNNING
SHIPMENT906,2024-02-06,RUNNING
SHIPMENT907,2024-03-31,DONE
SHIPMENT908,2024-03-31,CANCELLED
SHIPMENT909,2024-02-27,CANCELLED
SHIPMENT910,2024-02-03,DONE
SHIPMENT911,2024-03-02,RUNNING
SHIPMENT912,2024-02-27,DONE
SHIPMENT913,2024-03-28,CANCELLED
SHIPMENT914,2024-02-22,DONE
SHIPMENT915,2024-03-13,CANCELLED
SHIPMENT916,2024-02-26,DONE
SHIPMENT917,2024-02-11,CANCELLED
SHIPMENT918,2024-02-17,DONE
SHIPMENT919,2024-04-02,CANCELLED
SHIPMENT920,2024-03-12,DONE
SHIPMENT921,2024-02-18,CANCELLED
SHIPMENT922,2024-03-11,RUNNING
SHIPMENT923,2024-03-11,RUNNING
SHIPMENT924,2024-02-06,DONE
SHIPMENT925,2024-03-08,DONE
SHIPMENT926,2024-03-07,DONE
SHIPMENT927,2024-03-08,CANCELLED
SHIPMENT928,2024-03-21,DONE
SHIPMENT929,2024-03-11,DONE
SHIPMENT930,2024-03-24,CANCELLED
SHIPMENT931,2024-02-07,DONE
SHIPMENT932,2024-03-31,RUNNING
SHIPMENT933,2024-02-24,CANCELLED
SHIPMENT934,2024-02-04,CANCELLED
SHIPMENT935,2024-02-13,CANCELLED
SHIPMENT936,2024-02-15,CANCELLED
SHIPMENT937,2024-02-05,CANCELLED
SHIPMENT938,2024-03-05,RUNNING
SHIPMENT939,2024-03-17,RUNNING
SHIPMENT940,2024-03-02,CANCELLED
SHIPMENT941,2024-03-17,CANCELLED
SHIPMENT942,2024-02-06,DONE
SHIPMENT943,2024-03-25,RUNNING
SHIPMENT944,2024-03-10,RUNNING
SHIPMENT945,2024-02-13,CANCELLED
SHIPMENT946,2024-03-22,DONE
SHIPMENT947,2024-03-15,DONE
SHIPMENT948,2024-03-20,DONE
SHIPMENT949,2024-03-31,CANCELLED
SHIPMENT950,2024-03-19,RUNNING
SHIPMENT951,2024-02-13,DONE
SHIPMENT952,2024-02-22,CANCELLED
SHIPMENT953,2024-04-02,CANCELLED
SHIPMENT954,2024-03-25,DONE
SHIPMENT955,2024-02-05,DONE
SHIPMENT956,2024-03-03,DONE
SHIPMENT957,2024-02-05,CANCELLED
SHIPMENT958,2024-03-03,DONE
SHIPMENT959,2024-03-08,RUNNING
SHIPMENT960,2024-03-13,DONE
SHIPMENT961,2024-02-21,RUNNING
SHIPMENT962,2024-02-16,DONE
SHIPMENT963,2024-03-25,RUNNING
SHIPMENT964,2024-02-15,DONE
SHIPMENT965,2024-02-24,RUNNING
SHIPMENT966,2024-02-22,RUNNING
SHIPMENT967,2024-03-09,RUNNING
SHIPMENT968,2024-03-24,DONE
SHIPMENT969,2024-02-05,CANCELLED
SHIPMENT970,2024-02-08,DONE
SHIPMENT971,2024-03-05,DONE
SHIPMENT972,2024-03-26,RUNNING
SHIPMENT973,2024-02-09,DONE
SHIPMENT974,2024-03-01,CANCELLED
SHIPMENT975,2024-03-26,CANCELLED
SHIPMENT976,2024-03-30,DONE
SHIPMENT977,2024-02-04,RUNNING
SHIPMENT978,2024-03-02,DONE
SHIPMENT979,2024-03-17,CANCELLED
SHIPMENT980,2024-03-05,RUNNING
SHIPMENT981,2024-02-29,RUNNING
SHIPMENT982,2024-03-16,RUNNING
SHIPMENT983,2024-03-19,RUNNING
SHIPMENT984,2024-02-24,CANCELLED
SHIPMENT985,2024-03-14,CANCELLED
SHIPMENT986,2024-03-06,RUNNING
SHIPMENT987,2024-02-16,CANCELLED
SHIPMENT988,2024-03-06,DONE
SHIPMENT989,2024-03-16,DONE
SHIPMENT990,2024-03-14,DONE
SHIPMENT991,2024-03-26,CANCELLED
SHIPMENT992,2024-03-12,DONE
SHIPMENT993,2024-02-04,DONE
SHIPMENT994,2024-03-20,CANCELLED
SHIPMENT995,2024-02-27,RUNNING
SHIPMENT996,2024-03-05,DONE
SHIPMENT997,2024-03-13,CANCELLED
SHIPMENT998,2024-03-14,RUNNING
SHIPMENT999,2024-03-06,DONE
