"id","driver_code","shipment_no","total_costs","cost_status"
478,DRIVER022,SHIPMENT680,4500000.00,CONFIRMED
479,DRIVER013,SHIPMENT420,3500000.00,PENDING
480,DRIVER027,SHIPMENT935,900000.00,PAID
481,DRIVER024,SHIPMENT983,2400000.00,PAID
482,DRIVER019,SHIPMENT376,6800000.00,CONFIRMED
483,DRIVER023,SHIPMENT828,9700000.00,PENDING
484,DRIVER012,SHIPMENT671,2100000.00,PAID
485,DRIVER006,SHIPMENT041,3900000.00,PENDING
486,DRIVER012,SHIPMENT749,1000000.00,CONFIRMED
487,DRIVER026,SHIPMENT256,400000.00,CONFIRMED
488,DRIVER035,SHIPMENT764,1900000.00,PENDING
489,DRIVER013,SHIPMENT856,8700000.00,PAID
490,DRIVER014,SHIPMENT582,1100000.00,PAID
491,DRIVER012,SHIPMENT286,3600000.00,PENDING
492,DRIVER033,SHIPMENT098,9100000.00,PAID
493,DRIVER023,SHIPMENT952,500000.00,CONFIRMED
494,DRIVER025,SHIPMENT304,400000.00,PENDING
495,DRIVER005,SHIPMENT992,7100000.00,PENDING
496,DRIVER015,SHIPMENT356,2100000.00,CONFIRMED
497,DRIVER022,SHIPMENT342,5600000.00,CONFIRMED
498,DRIVER025,SHIPMENT984,3300000.00,PENDING
499,DRIVER023,SHIPMENT955,5000000.00,CONFIRMED
500,DRIVER027,SHIPMENT597,9400000.00,PENDING
501,DRIVER026,SHIPMENT975,9100000.00,PENDING
502,DRIVER018,SHIPMENT825,6300000.00,CONFIRMED
503,DRIVER006,SHIPMENT278,600000.00,CONFIRMED
504,DRIVER010,SHIPMENT877,2300000.00,CONFIRMED
505,DRIVER006,SHIPMENT425,3900000.00,PAID
506,DRIVER011,SHIPMENT790,9800000.00,CONFIRMED
507,DRIVER021,SHIPMENT609,4000000.00,PAID
508,DRIVER027,SHIPMENT664,7000000.00,CONFIRMED
509,DRIVER025,SHIPMENT139,4900000.00,PENDING
510,DRIVER019,SHIPMENT726,9400000.00,CONFIRMED
511,DRIVER032,SHIPMENT167,5800000.00,PENDING
512,DRIVER001,SHIPMENT304,8000000.00,PENDING
513,DRIVER006,SHIPMENT891,7800000.00,PENDING
514,DRIVER004,SHIPMENT429,4200000.00,PENDING
515,DRIVER029,SHIPMENT095,3800000.00,PAID
516,DRIVER008,SHIPMENT834,5600000.00,CONFIRMED
517,DRIVER027,SHIPMENT113,3900000.00,CONFIRMED
518,DRIVER026,SHIPMENT772,6200000.00,PAID
519,DRIVER027,SHIPMENT374,3400000.00,PAID
520,DRIVER001,SHIPMENT714,9200000.00,PENDING
521,DRIVER013,SHIPMENT389,800000.00,PENDING
522,DRIVER005,SHIPMENT622,0.00,PENDING
523,DRIVER032,SHIPMENT669,1700000.00,CONFIRMED
524,DRIVER016,SHIPMENT566,4700000.00,PAID
525,DRIVER010,SHIPMENT252,800000.00,PAID
526,DRIVER018,SHIPMENT304,9700000.00,PAID
527,DRIVER032,SHIPMENT405,100000.00,PENDING
528,DRIVER005,SHIPMENT273,6100000.00,PENDING
529,DRIVER031,SHIPMENT481,9600000.00,PENDING
530,DRIVER009,SHIPMENT370,4100000.00,PENDING
531,DRIVER021,SHIPMENT881,7100000.00,PENDING
532,DRIVER029,SHIPMENT348,6400000.00,CONFIRMED
533,DRIVER002,SHIPMENT515,600000.00,PENDING
534,DRIVER017,SHIPMENT493,8400000.00,PAID
535,DRIVER006,SHIPMENT797,6100000.00,PAID
536,DRIVER006,SHIPMENT679,4600000.00,PENDING
537,DRIVER003,SHIPMENT550,6100000.00,PENDING
538,DRIVER018,SHIPMENT550,8500000.00,CONFIRMED
539,DRIVER028,SHIPMENT145,9700000.00,CONFIRMED
540,DRIVER002,SHIPMENT317,8200000.00,PENDING
541,DRIVER003,SHIPMENT276,1300000.00,PENDING
542,DRIVER013,SHIPMENT249,5300000.00,CONFIRMED
543,DRIVER004,SHIPMENT881,4100000.00,PENDING
544,DRIVER035,SHIPMENT174,7600000.00,PENDING
545,DRIVER003,SHIPMENT322,4800000.00,CONFIRMED
546,DRIVER031,SHIPMENT923,7700000.00,PENDING
548,DRIVER027,SHIPMENT707,7200000.00,CONFIRMED
549,DRIVER005,SHIPMENT254,2000000.00,CONFIRMED
550,DRIVER023,SHIPMENT333,2800000.00,PAID
551,DRIVER019,SHIPMENT855,8700000.00,PENDING
552,DRIVER005,SHIPMENT086,4800000.00,PENDING
553,DRIVER008,SHIPMENT650,8700000.00,PAID
554,DRIVER018,SHIPMENT136,8300000.00,PAID
555,DRIVER004,SHIPMENT628,3400000.00,PAID
556,DRIVER024,SHIPMENT301,0.00,CONFIRMED
557,DRIVER019,SHIPMENT001,8800000.00,CONFIRMED
558,DRIVER029,SHIPMENT782,9200000.00,PAID
559,DRIVER006,SHIPMENT824,2900000.00,PENDING
560,DRIVER028,SHIPMENT392,2300000.00,CONFIRMED
561,DRIVER023,SHIPMENT912,5300000.00,PENDING
563,DRIVER016,SHIPMENT174,1400000.00,PAID
564,DRIVER033,SHIPMENT334,400000.00,CONFIRMED
565,DRIVER010,SHIPMENT195,8800000.00,PENDING
566,DRIVER030,SHIPMENT300,1800000.00,PAID
567,DRIVER016,SHIPMENT787,2500000.00,CONFIRMED
568,DRIVER002,SHIPMENT945,2600000.00,CONFIRMED
569,DRIVER035,SHIPMENT732,5500000.00,PAID
570,DRIVER020,SHIPMENT366,5500000.00,PAID
571,DRIVER031,SHIPMENT257,3700000.00,CONFIRMED
572,DRIVER019,SHIPMENT332,9700000.00,PAID
573,DRIVER003,SHIPMENT005,3600000.00,PENDING
574,DRIVER018,SHIPMENT736,5300000.00,PAID
575,DRIVER027,SHIPMENT145,1000000.00,PENDING
576,DRIVER014,SHIPMENT141,7700000.00,PENDING
577,DRIVER007,SHIPMENT645,4900000.00,PENDING
578,DRIVER028,SHIPMENT116,6900000.00,PENDING
579,DRIVER028,SHIPMENT259,5800000.00,CONFIRMED
580,DRIVER015,SHIPMENT835,8100000.00,CONFIRMED
581,DRIVER034,SHIPMENT003,1200000.00,CONFIRMED
582,DRIVER013,SHIPMENT740,4800000.00,PAID
583,DRIVER030,SHIPMENT835,9500000.00,PENDING
584,DRIVER028,SHIPMENT435,9700000.00,CONFIRMED
585,DRIVER015,SHIPMENT192,9500000.00,PAID
586,DRIVER003,SHIPMENT549,600000.00,PAID
587,DRIVER006,SHIPMENT918,1300000.00,PAID
588,DRIVER012,SHIPMENT334,4100000.00,CONFIRMED
589,DRIVER007,SHIPMENT413,8600000.00,PENDING
590,DRIVER026,SHIPMENT400,2400000.00,CONFIRMED
591,DRIVER024,SHIPMENT771,6100000.00,CONFIRMED
592,DRIVER004,SHIPMENT213,600000.00,PAID
593,DRIVER028,SHIPMENT204,1200000.00,CONFIRMED
594,DRIVER034,SHIPMENT344,4600000.00,PENDING
595,DRIVER032,SHIPMENT984,1900000.00,PENDING
596,DRIVER018,SHIPMENT670,3100000.00,PAID
597,DRIVER015,SHIPMENT378,3400000.00,PENDING
598,DRIVER020,SHIPMENT677,4800000.00,CONFIRMED
599,DRIVER005,SHIPMENT197,2800000.00,CONFIRMED
600,DRIVER003,SHIPMENT697,300000.00,PAID
601,DRIVER019,SHIPMENT757,3800000.00,CONFIRMED
602,DRIVER028,SHIPMENT788,7800000.00,PENDING
603,DRIVER016,SHIPMENT301,4000000.00,PAID
604,DRIVER005,SHIPMENT956,7800000.00,PENDING
605,DRIVER033,SHIPMENT552,2000000.00,PENDING
606,DRIVER018,SHIPMENT937,4900000.00,CONFIRMED
607,DRIVER015,SHIPMENT907,200000.00,CONFIRMED
608,DRIVER028,SHIPMENT268,8200000.00,PENDING
609,DRIVER029,SHIPMENT378,7200000.00,PENDING
610,DRIVER015,SHIPMENT076,9400000.00,CONFIRMED
611,DRIVER003,SHIPMENT509,4200000.00,PENDING
612,DRIVER028,SHIPMENT016,600000.00,PAID
613,DRIVER009,SHIPMENT449,5100000.00,PAID
614,DRIVER001,SHIPMENT825,2900000.00,CONFIRMED
615,DRIVER026,SHIPMENT350,8000000.00,PAID
616,DRIVER006,SHIPMENT589,4800000.00,PENDING
617,DRIVER006,SHIPMENT128,1800000.00,CONFIRMED
618,DRIVER026,SHIPMENT024,0.00,PENDING
619,DRIVER004,SHIPMENT742,300000.00,PAID
620,DRIVER015,SHIPMENT358,6900000.00,CONFIRMED
621,DRIVER011,SHIPMENT387,3800000.00,CONFIRMED
622,DRIVER031,SHIPMENT019,5800000.00,PENDING
623,DRIVER026,SHIPMENT029,3900000.00,PAID
624,DRIVER020,SHIPMENT389,6600000.00,CONFIRMED
625,DRIVER021,SHIPMENT637,7400000.00,CONFIRMED
626,DRIVER017,SHIPMENT253,7200000.00,CONFIRMED
627,DRIVER034,SHIPMENT080,1300000.00,CONFIRMED
628,DRIVER014,SHIPMENT623,2900000.00,PAID
629,DRIVER024,SHIPMENT269,6400000.00,PENDING
630,DRIVER031,SHIPMENT251,100000.00,CONFIRMED
631,DRIVER032,SHIPMENT478,6900000.00,PAID
632,DRIVER013,SHIPMENT186,7400000.00,PAID
633,DRIVER013,SHIPMENT962,4600000.00,PAID
634,DRIVER019,SHIPMENT771,4700000.00,PENDING
635,DRIVER018,SHIPMENT422,800000.00,CONFIRMED
636,DRIVER021,SHIPMENT098,7900000.00,PENDING
637,DRIVER028,SHIPMENT483,1000000.00,PAID
638,DRIVER002,SHIPMENT625,8800000.00,PAID
639,DRIVER019,SHIPMENT556,6300000.00,PENDING
640,DRIVER001,SHIPMENT968,3400000.00,PENDING
641,DRIVER002,SHIPMENT992,3900000.00,CONFIRMED
642,DRIVER008,SHIPMENT743,2700000.00,PAID
643,DRIVER006,SHIPMENT081,3700000.00,PENDING
644,DRIVER002,SHIPMENT841,1200000.00,CONFIRMED
645,DRIVER024,SHIPMENT965,3300000.00,PENDING
646,DRIVER004,SHIPMENT440,7100000.00,PENDING
647,DRIVER028,SHIPMENT055,1800000.00,PAID
648,DRIVER020,SHIPMENT885,7400000.00,PAID
649,DRIVER007,SHIPMENT604,5300000.00,PAID
650,DRIVER022,SHIPMENT168,7000000.00,PENDING
651,DRIVER010,SHIPMENT662,6600000.00,PAID
652,DRIVER015,SHIPMENT676,4900000.00,PENDING
653,DRIVER025,SHIPMENT427,1800000.00,PENDING
654,DRIVER010,SHIPMENT090,400000.00,PENDING
655,DRIVER009,SHIPMENT970,300000.00,PAID
656,DRIVER001,SHIPMENT853,7300000.00,CONFIRMED
658,DRIVER008,SHIPMENT792,300000.00,PAID
659,DRIVER012,SHIPMENT907,1000000.00,CONFIRMED
660,DRIVER005,SHIPMENT451,3300000.00,PAID
661,DRIVER033,SHIPMENT934,6300000.00,PENDING
662,DRIVER035,SHIPMENT537,7600000.00,PAID
663,DRIVER035,SHIPMENT524,1800000.00,PENDING
664,DRIVER033,SHIPMENT680,8100000.00,PAID
665,DRIVER028,SHIPMENT454,1600000.00,CONFIRMED
666,DRIVER033,SHIPMENT054,2900000.00,CONFIRMED
667,DRIVER001,SHIPMENT212,8300000.00,CONFIRMED
668,DRIVER012,SHIPMENT882,1200000.00,CONFIRMED
669,DRIVER016,SHIPMENT827,5900000.00,CONFIRMED
670,DRIVER002,SHIPMENT138,3500000.00,PAID
671,DRIVER030,SHIPMENT674,5600000.00,CONFIRMED
672,DRIVER030,SHIPMENT145,5400000.00,PAID
673,DRIVER014,SHIPMENT199,8100000.00,PENDING
674,DRIVER026,SHIPMENT485,900000.00,CONFIRMED
675,DRIVER032,SHIPMENT803,8700000.00,PAID
676,DRIVER006,SHIPMENT301,6700000.00,PAID
677,DRIVER023,SHIPMENT695,3200000.00,PENDING
678,DRIVER007,SHIPMENT240,1000000.00,PAID
679,DRIVER001,SHIPMENT637,5900000.00,PAID
680,DRIVER015,SHIPMENT168,6800000.00,PENDING
681,DRIVER027,SHIPMENT931,6000000.00,PAID
682,DRIVER031,SHIPMENT372,9400000.00,CONFIRMED
683,DRIVER006,SHIPMENT835,5500000.00,CONFIRMED
684,DRIVER005,SHIPMENT663,3600000.00,CONFIRMED
685,DRIVER028,SHIPMENT896,3300000.00,PAID
686,DRIVER016,SHIPMENT617,8500000.00,PENDING
687,DRIVER025,SHIPMENT937,8500000.00,CONFIRMED
688,DRIVER003,SHIPMENT372,8900000.00,PENDING
689,DRIVER003,SHIPMENT317,700000.00,PENDING
690,DRIVER030,SHIPMENT552,9000000.00,PENDING
691,DRIVER017,SHIPMENT759,3800000.00,PENDING
692,DRIVER009,SHIPMENT073,8400000.00,CONFIRMED
693,DRIVER002,SHIPMENT557,7000000.00,PENDING
694,DRIVER005,SHIPMENT194,5200000.00,PENDING
695,DRIVER024,SHIPMENT602,3600000.00,PENDING
696,DRIVER021,SHIPMENT381,7100000.00,PAID
697,DRIVER005,SHIPMENT279,2500000.00,CONFIRMED
698,DRIVER032,SHIPMENT330,9500000.00,PENDING
699,DRIVER013,SHIPMENT102,5800000.00,PAID
700,DRIVER035,SHIPMENT734,4000000.00,PENDING
701,DRIVER030,SHIPMENT238,9500000.00,PAID
702,DRIVER026,SHIPMENT647,9100000.00,PENDING
703,DRIVER017,SHIPMENT180,6300000.00,PAID
704,DRIVER007,SHIPMENT143,6200000.00,PAID
705,DRIVER025,SHIPMENT495,3000000.00,PENDING
706,DRIVER035,SHIPMENT571,800000.00,CONFIRMED
707,DRIVER016,SHIPMENT092,7800000.00,PAID
708,DRIVER035,SHIPMENT033,6700000.00,CONFIRMED
709,DRIVER014,SHIPMENT456,800000.00,CONFIRMED
710,DRIVER004,SHIPMENT719,2700000.00,PAID
711,DRIVER008,SHIPMENT213,8800000.00,PAID
712,DRIVER023,SHIPMENT466,3400000.00,PAID
713,DRIVER028,SHIPMENT450,9600000.00,PENDING
714,DRIVER026,SHIPMENT405,6900000.00,CONFIRMED
715,DRIVER027,SHIPMENT895,4300000.00,PENDING
716,DRIVER033,SHIPMENT453,6600000.00,CONFIRMED
717,DRIVER025,SHIPMENT222,3400000.00,PAID
718,DRIVER017,SHIPMENT304,9900000.00,PENDING
719,DRIVER034,SHIPMENT135,5900000.00,PAID
720,DRIVER014,SHIPMENT921,9300000.00,CONFIRMED
722,DRIVER018,SHIPMENT013,2600000.00,PAID
723,DRIVER003,SHIPMENT934,7500000.00,PAID
724,DRIVER023,SHIPMENT212,6000000.00,PAID
725,DRIVER019,SHIPMENT124,2400000.00,PENDING
726,DRIVER033,SHIPMENT973,4500000.00,PENDING
727,DRIVER028,SHIPMENT139,6000000.00,PAID
728,DRIVER004,SHIPMENT890,3300000.00,PENDING
729,DRIVER012,SHIPMENT568,3600000.00,CONFIRMED
730,DRIVER009,SHIPMENT836,9800000.00,CONFIRMED
731,DRIVER011,SHIPMENT726,9800000.00,PAID
732,DRIVER024,SHIPMENT745,7400000.00,PENDING
733,DRIVER027,SHIPMENT342,4400000.00,PAID
734,DRIVER012,SHIPMENT765,6300000.00,PENDING
735,DRIVER003,SHIPMENT747,5300000.00,PENDING
736,DRIVER022,SHIPMENT064,1600000.00,CONFIRMED
737,DRIVER026,SHIPMENT074,4500000.00,CONFIRMED
738,DRIVER005,SHIPMENT585,4100000.00,PENDING
739,DRIVER032,SHIPMENT757,1800000.00,PAID
740,DRIVER013,SHIPMENT978,9900000.00,CONFIRMED
741,DRIVER030,SHIPMENT165,2600000.00,CONFIRMED
742,DRIVER023,SHIPMENT453,9600000.00,PENDING
743,DRIVER024,SHIPMENT031,2500000.00,PAID
744,DRIVER026,SHIPMENT583,4700000.00,PENDING
745,DRIVER020,SHIPMENT359,800000.00,CONFIRMED
746,DRIVER021,SHIPMENT489,6900000.00,PENDING
747,DRIVER017,SHIPMENT312,5400000.00,CONFIRMED
748,DRIVER029,SHIPMENT638,2000000.00,PENDING
749,DRIVER005,SHIPMENT693,7200000.00,CONFIRMED
750,DRIVER013,SHIPMENT288,6500000.00,PENDING
751,DRIVER016,SHIPMENT706,3000000.00,CONFIRMED
752,DRIVER024,SHIPMENT240,8700000.00,PENDING
753,DRIVER010,SHIPMENT996,2100000.00,PENDING
754,DRIVER009,SHIPMENT639,8500000.00,PENDING
755,DRIVER013,SHIPMENT345,4700000.00,CONFIRMED
756,DRIVER018,SHIPMENT264,7400000.00,PAID
757,DRIVER011,SHIPMENT087,8200000.00,CONFIRMED
758,DRIVER002,SHIPMENT024,4600000.00,PENDING
759,DRIVER035,SHIPMENT473,8300000.00,PENDING
760,DRIVER021,SHIPMENT636,7600000.00,CONFIRMED
761,DRIVER026,SHIPMENT268,8100000.00,PENDING
762,DRIVER023,SHIPMENT997,6200000.00,PENDING
763,DRIVER030,SHIPMENT089,9500000.00,CONFIRMED
764,DRIVER018,SHIPMENT832,5500000.00,PENDING
765,DRIVER020,SHIPMENT979,7900000.00,PAID
766,DRIVER004,SHIPMENT967,9400000.00,PENDING
767,DRIVER035,SHIPMENT129,2100000.00,PENDING
768,DRIVER004,SHIPMENT137,7900000.00,PAID
769,DRIVER028,SHIPMENT770,3600000.00,PAID
770,DRIVER030,SHIPMENT737,7500000.00,CONFIRMED
771,DRIVER004,SHIPMENT752,7100000.00,PENDING
772,DRIVER009,SHIPMENT491,9600000.00,PENDING
773,DRIVER012,SHIPMENT058,4800000.00,PAID
774,DRIVER011,SHIPMENT676,4200000.00,PENDING
775,DRIVER002,SHIPMENT177,4700000.00,PAID
776,DRIVER006,SHIPMENT010,3600000.00,PAID
777,DRIVER006,SHIPMENT559,5500000.00,PENDING
778,DRIVER016,SHIPMENT117,1000000.00,PAID
779,DRIVER024,SHIPMENT068,8700000.00,PENDING
780,DRIVER013,SHIPMENT634,2000000.00,CONFIRMED
781,DRIVER004,SHIPMENT840,6400000.00,PAID
782,DRIVER002,SHIPMENT182,2700000.00,CONFIRMED
783,DRIVER007,SHIPMENT239,7000000.00,CONFIRMED
784,DRIVER013,SHIPMENT046,1000000.00,PAID
785,DRIVER025,SHIPMENT606,2300000.00,CONFIRMED
786,DRIVER002,SHIPMENT913,1300000.00,PAID
787,DRIVER008,SHIPMENT268,4300000.00,CONFIRMED
788,DRIVER012,SHIPMENT071,7600000.00,PAID
789,DRIVER014,SHIPMENT273,5400000.00,PENDING
790,DRIVER019,SHIPMENT605,700000.00,PENDING
791,DRIVER001,SHIPMENT431,4200000.00,CONFIRMED
792,DRIVER015,SHIPMENT319,8400000.00,PENDING
793,DRIVER017,SHIPMENT808,5300000.00,PAID
794,DRIVER027,SHIPMENT992,2300000.00,PENDING
795,DRIVER034,SHIPMENT512,5400000.00,CONFIRMED
796,DRIVER033,SHIPMENT458,1200000.00,CONFIRMED
797,DRIVER003,SHIPMENT418,9200000.00,PENDING
798,DRIVER008,SHIPMENT163,7500000.00,PAID
799,DRIVER007,SHIPMENT132,5500000.00,PAID
800,DRIVER035,SHIPMENT191,1100000.00,PAID
801,DRIVER034,SHIPMENT161,5700000.00,CONFIRMED
802,DRIVER031,SHIPMENT988,5100000.00,PENDING
803,DRIVER015,SHIPMENT918,4600000.00,CONFIRMED
804,DRIVER030,SHIPMENT381,5100000.00,PAID
805,DRIVER021,SHIPMENT577,4000000.00,PAID
806,DRIVER022,SHIPMENT480,6200000.00,CONFIRMED
807,DRIVER034,SHIPMENT082,2400000.00,PENDING
808,DRIVER013,SHIPMENT728,9400000.00,CONFIRMED
809,DRIVER029,SHIPMENT763,2200000.00,CONFIRMED
810,DRIVER035,SHIPMENT639,3400000.00,CONFIRMED
811,DRIVER016,SHIPMENT312,2500000.00,PAID
812,DRIVER014,SHIPMENT548,9900000.00,PENDING
813,DRIVER019,SHIPMENT896,9900000.00,CONFIRMED
814,DRIVER001,SHIPMENT628,9600000.00,CONFIRMED
815,DRIVER005,SHIPMENT196,8100000.00,CONFIRMED
816,DRIVER002,SHIPMENT603,5000000.00,PAID
817,DRIVER022,SHIPMENT664,9100000.00,PENDING
818,DRIVER018,SHIPMENT331,8100000.00,CONFIRMED
819,DRIVER013,SHIPMENT058,8500000.00,PENDING
820,DRIVER025,SHIPMENT403,6800000.00,PAID
821,DRIVER006,SHIPMENT658,5100000.00,PENDING
822,DRIVER034,SHIPMENT186,2200000.00,PAID
823,DRIVER001,SHIPMENT030,1200000.00,PAID
824,DRIVER022,SHIPMENT678,5400000.00,CONFIRMED
825,DRIVER034,SHIPMENT263,3300000.00,CONFIRMED
827,DRIVER010,SHIPMENT973,5900000.00,PAID
828,DRIVER028,SHIPMENT252,9300000.00,PENDING
829,DRIVER004,SHIPMENT012,400000.00,PENDING
830,DRIVER020,SHIPMENT987,3400000.00,PENDING
831,DRIVER032,SHIPMENT518,7200000.00,CONFIRMED
832,DRIVER009,SHIPMENT328,3000000.00,CONFIRMED
833,DRIVER016,SHIPMENT717,300000.00,PAID
834,DRIVER014,SHIPMENT552,6700000.00,CONFIRMED
835,DRIVER014,SHIPMENT337,3200000.00,PAID
836,DRIVER021,SHIPMENT654,3800000.00,PENDING
837,DRIVER001,SHIPMENT343,1700000.00,PAID
838,DRIVER017,SHIPMENT401,4300000.00,CONFIRMED
839,DRIVER010,SHIPMENT592,5300000.00,CONFIRMED
840,DRIVER033,SHIPMENT536,5100000.00,PENDING
841,DRIVER034,SHIPMENT217,5300000.00,PAID
842,DRIVER028,SHIPMENT828,4300000.00,PENDING
843,DRIVER008,SHIPMENT062,2500000.00,CONFIRMED
844,DRIVER011,SHIPMENT665,9600000.00,PAID
846,DRIVER030,SHIPMENT679,6400000.00,PENDING
847,DRIVER016,SHIPMENT105,4900000.00,PAID
848,DRIVER032,SHIPMENT258,6000000.00,PENDING
849,DRIVER029,SHIPMENT140,3800000.00,PAID
850,DRIVER013,SHIPMENT544,9000000.00,PAID
851,DRIVER022,SHIPMENT787,5000000.00,PAID
852,DRIVER012,SHIPMENT421,500000.00,PENDING
853,DRIVER025,SHIPMENT057,5500000.00,PENDING
854,DRIVER034,SHIPMENT645,500000.00,PAID
855,DRIVER022,SHIPMENT730,1500000.00,PENDING
856,DRIVER007,SHIPMENT662,6500000.00,PAID
857,DRIVER003,SHIPMENT069,8600000.00,PENDING
858,DRIVER021,SHIPMENT971,3100000.00,PAID
859,DRIVER029,SHIPMENT353,2300000.00,CONFIRMED
860,DRIVER028,SHIPMENT521,8400000.00,CONFIRMED
861,DRIVER008,SHIPMENT624,3500000.00,PAID
862,DRIVER022,SHIPMENT143,8600000.00,PAID
864,DRIVER012,SHIPMENT701,6800000.00,PENDING
865,DRIVER029,SHIPMENT925,8500000.00,CONFIRMED
866,DRIVER025,SHIPMENT735,6700000.00,PENDING
867,DRIVER001,SHIPMENT663,9000000.00,PAID
868,DRIVER012,SHIPMENT371,7600000.00,PENDING
869,DRIVER010,SHIPMENT930,7500000.00,PAID
870,DRIVER029,SHIPMENT910,8900000.00,CONFIRMED
871,DRIVER014,SHIPMENT191,100000.00,PAID
872,DRIVER023,SHIPMENT150,2300000.00,PAID
873,DRIVER028,SHIPMENT319,5100000.00,PAID
874,DRIVER015,SHIPMENT190,8900000.00,PAID
875,DRIVER026,SHIPMENT677,600000.00,PAID
876,DRIVER033,SHIPMENT824,6500000.00,PENDING
877,DRIVER010,SHIPMENT226,9500000.00,PENDING
878,DRIVER033,SHIPMENT665,3800000.00,CONFIRMED
879,DRIVER001,SHIPMENT568,9000000.00,PENDING
880,DRIVER017,SHIPMENT398,5800000.00,CONFIRMED
881,DRIVER018,SHIPMENT359,900000.00,CONFIRMED
882,DRIVER001,SHIPMENT706,9700000.00,CONFIRMED
883,DRIVER035,SHIPMENT586,6600000.00,PAID
884,DRIVER011,SHIPMENT858,2200000.00,PAID
885,DRIVER010,SHIPMENT756,9300000.00,PENDING
886,DRIVER033,SHIPMENT110,8100000.00,CONFIRMED
888,DRIVER035,SHIPMENT539,9200000.00,CONFIRMED
889,DRIVER034,SHIPMENT607,6600000.00,CONFIRMED
890,DRIVER007,SHIPMENT722,5900000.00,PAID
891,DRIVER014,SHIPMENT335,8300000.00,CONFIRMED
892,DRIVER035,SHIPMENT845,6800000.00,PAID
893,DRIVER008,SHIPMENT835,1300000.00,CONFIRMED
894,DRIVER009,SHIPMENT716,3800000.00,PENDING
895,DRIVER018,SHIPMENT607,6200000.00,PAID
896,DRIVER001,SHIPMENT474,3200000.00,PENDING
897,DRIVER006,SHIPMENT758,5200000.00,PENDING
898,DRIVER028,SHIPMENT299,4400000.00,CONFIRMED
899,DRIVER015,SHIPMENT949,3100000.00,CONFIRMED
900,DRIVER006,SHIPMENT802,2600000.00,PAID
901,DRIVER005,SHIPMENT127,400000.00,CONFIRMED
902,DRIVER018,SHIPMENT243,6600000.00,CONFIRMED
903,DRIVER020,SHIPMENT780,9500000.00,PAID
904,DRIVER029,SHIPMENT009,5900000.00,CONFIRMED
905,DRIVER022,SHIPMENT454,9100000.00,PENDING
906,DRIVER033,SHIPMENT677,4500000.00,PENDING
907,DRIVER006,SHIPMENT683,4000000.00,CONFIRMED
908,DRIVER001,SHIPMENT358,8600000.00,PENDING
909,DRIVER005,SHIPMENT584,2500000.00,PENDING
910,DRIVER033,SHIPMENT214,3500000.00,PENDING
911,DRIVER027,SHIPMENT726,300000.00,PAID
912,DRIVER012,SHIPMENT217,9800000.00,PAID
913,DRIVER014,SHIPMENT573,400000.00,CONFIRMED
914,DRIVER026,SHIPMENT194,3200000.00,CONFIRMED
915,DRIVER014,SHIPMENT852,6700000.00,PAID
916,DRIVER028,SHIPMENT938,1300000.00,PAID
917,DRIVER032,SHIPMENT835,2500000.00,PENDING
918,DRIVER029,SHIPMENT816,4000000.00,PENDING
919,DRIVER021,SHIPMENT843,5200000.00,PENDING
921,DRIVER028,SHIPMENT325,0.00,PENDING
922,DRIVER031,SHIPMENT352,8800000.00,PENDING
923,DRIVER015,SHIPMENT635,3900000.00,CONFIRMED
924,DRIVER004,SHIPMENT649,4000000.00,CONFIRMED
925,DRIVER015,SHIPMENT392,7100000.00,PENDING
926,DRIVER024,SHIPMENT084,4500000.00,CONFIRMED
927,DRIVER026,SHIPMENT417,1200000.00,PAID
928,DRIVER008,SHIPMENT590,7400000.00,PENDING
929,DRIVER013,SHIPMENT636,9000000.00,PAID
930,DRIVER035,SHIPMENT133,3700000.00,PAID
931,DRIVER029,SHIPMENT326,5600000.00,CONFIRMED
932,DRIVER029,SHIPMENT653,6000000.00,CONFIRMED
933,DRIVER008,SHIPMENT611,3800000.00,CONFIRMED
934,DRIVER012,SHIPMENT518,1200000.00,CONFIRMED
935,DRIVER033,SHIPMENT670,7400000.00,CONFIRMED
936,DRIVER002,SHIPMENT083,900000.00,PAID
937,DRIVER029,SHIPMENT518,7500000.00,CONFIRMED
938,DRIVER008,SHIPMENT703,5600000.00,PENDING
939,DRIVER002,SHIPMENT227,8900000.00,PENDING
940,DRIVER007,SHIPMENT291,4600000.00,PENDING
941,DRIVER011,SHIPMENT417,200000.00,CONFIRMED
942,DRIVER033,SHIPMENT857,8400000.00,PAID
943,DRIVER006,SHIPMENT293,2700000.00,PAID
944,DRIVER019,SHIPMENT635,7100000.00,CONFIRMED
945,DRIVER020,SHIPMENT666,300000.00,PENDING
946,DRIVER027,SHIPMENT510,2200000.00,PAID
947,DRIVER008,SHIPMENT385,3300000.00,PAID
948,DRIVER031,SHIPMENT207,7000000.00,PAID
949,DRIVER003,SHIPMENT328,6300000.00,CONFIRMED
950,DRIVER035,SHIPMENT689,9100000.00,PAID
951,DRIVER013,SHIPMENT365,4200000.00,PAID
952,DRIVER027,SHIPMENT937,4200000.00,PENDING
953,DRIVER034,SHIPMENT145,7100000.00,PAID
954,DRIVER005,SHIPMENT176,4300000.00,PAID
955,DRIVER013,SHIPMENT888,9200000.00,CONFIRMED
956,DRIVER029,SHIPMENT430,3100000.00,CONFIRMED
957,DRIVER012,SHIPMENT225,9300000.00,CONFIRMED
958,DRIVER033,SHIPMENT815,6500000.00,PENDING
